maker,devices
Acer,99
alcatel,376
Allview,132
Amazon,17
Amoi,47
Apple,57
Archos,38
Asus,166
AT&T,4
Benefon,9
BenQ,35
BenQ-Siemens,27
Bird,61
BlackBerry,88
Blackview,6
BLU,262
Bosch,10
BQ,18
Casio,5
Cat,12
Celkon,229
Chea,12
Coolpad,25
Dell,20
Emporia,15
Energizer,17
Ericsson,40
Eten,22
Fujitsu Siemens,2
Garmin-Asus,5
Gigabyte,63
Gionee,78
Google,5
Haier,57
HP,41
HTC,255
Huawei,269
i-mate,34
i-mobile,37
Icemobile,61
Innostream,18
iNQ,5
Intex,15
Jolla,3
Karbonn,60
Kyocera,23
Lava,108
LeEco,9
Lenovo,175
LG,602
Maxon,31
Maxwest,41
Meizu,38
Micromax,276
Microsoft,30
Mitac,12
Mitsubishi,25
Modu,8
Motorola,454
MWg,5
NEC,73
Neonode,3
NIU,30
Nokia,459
Nvidia,3
O2,45
OnePlus,8
Oppo,69
Orange,18
Palm,16
Panasonic,111
Pantech,72
Parla,10
Philips,227
Plum,95
Posh,30
Prestigio,56
QMobile,90
Qtek,21
Sagem,120
Samsung,1133
Sendo,19
Sewon,25
Sharp,50
Siemens,94
Sonim,13
Sony,133
Sony Ericsson,188
Spice,120
T-Mobile,53
Tel.Me.,7
Telit,30
Thuraya,1
Toshiba,35
Unnecto,30
Vertu,17
verykool,139
vivo,52
VK Mobile,31
Vodafone,81
Wiko,60
WND,5
XCute,4
Xiaomi,65
XOLO,81
Yezz,87
Yota,3
YU,12
ZTE,240
