ACER, 99 devices
ALCATEL, 362 devices
ALLVIEW, 119 devices
AMAZON, 14 devices
AMOI, 47 devices
APPLE, 51 devices
ARCHOS, 31 devices
ASUS, 149 devices
AT&T, 4 devices
BENEFON, 9 devices
BENQ, 35 devices
BENQ-SIEMENS, 27 devices
BIRD, 61 devices
BLACKBERRY, 87 devices
BLU, 230 devices
BOSCH, 10 devices
BQ, 12 devices
CASIO, 5 devices
CAT, 9 devices
CELKON, 229 devices
CHEA, 12 devices
COOLPAD, 21 devices
DELL, 20 devices
EMPORIA, 15 devices
ENERGIZER, 5 devices
ERICSSON, 40 devices
ETEN, 22 devices
FUJITSU SIEMENS, 2 devices
GARMIN-ASUS, 5 devices
GIGABYTE, 63 devices
GIONEE, 69 devices
GOOGLE, 3 devices
HAIER, 51 devices
HP, 41 devices
HTC, 249 devices
HUAWEI, 244 devices
I-MATE, 34 devices
I-MOBILE, 37 devices
ICEMOBILE, 60 devices
INNOSTREAM, 18 devices
INQ, 5 devices
INTEX, 15 devices
JOLLA, 3 devices
KARBONN, 60 devices
KYOCERA, 23 devices
LAVA, 103 devices
LEECO, 9 devices
LENOVO, 167 devices
LG, 591 devices
MAXON, 31 devices
MAXWEST, 41 devices
MEIZU, 33 devices
MICROMAX, 261 devices
MICROSOFT, 30 devices
MITAC, 12 devices
MITSUBISHI, 25 devices
MODU, 8 devices
MOTOROLA, 445 devices
MWG, 5 devices
NEC, 73 devices
NEONODE, 3 devices
NIU, 30 devices
NOKIA, 448 devices
NVIDIA, 3 devices
O2, 45 devices
ONEPLUS, 6 devices
OPPO, 58 devices
ORANGE, 18 devices
PALM, 16 devices
PANASONIC, 95 devices
PANTECH, 72 devices
PARLA, 10 devices
PHILIPS, 227 devices
PLUM, 90 devices
POSH, 30 devices
PRESTIGIO, 56 devices
QMOBILE, 79 devices
QTEK, 21 devices
SAGEM, 120 devices
SAMSUNG, 1117 devices
SENDO, 19 devices
SEWON, 25 devices
SHARP, 45 devices
SIEMENS, 94 devices
SONIM, 13 devices
SONY, 124 devices
SONY ERICSSON, 188 devices
SPICE, 120 devices
T-MOBILE, 52 devices
TEL.ME., 7 devices
TELIT, 30 devices
THURAYA, 1 devices
TOSHIBA, 35 devices
UNNECTO, 30 devices
VERTU, 17 devices
VERYKOOL, 125 devices
VIVO, 41 devices
VK MOBILE, 31 devices
VODAFONE, 77 devices
WIKO, 35 devices
WND, 5 devices
XCUTE, 4 devices
XIAOMI, 53 devices
XOLO, 81 devices
YEZZ, 87 devices
YOTA, 2 devices
YU, 9 devices
ZTE, 218 devices
