00:3E:E1,"Apple, Inc."
00:1D:4B,Grid Connect Inc.
00:04:4B,NVIDIA
00:05:AD,"Topspin Communications, Inc."
00:90:BD,"OMNIA COMMUNICATIONS, INC."
70:05:14,LG Electronics (Mobile Communications)
98:FA:E3,Xiaomi Communications Co Ltd
00:15:1C,LENECO
7C:FA:DF,"Apple, Inc."
00:11:24,"Apple, Inc."
50:00:8C,Hong Kong Telecommunications (HKT) Limited
08:70:45,"Apple, Inc."
04:20:9A,Panasonic AVC Networks Company
00:12:FE,Lenovo Mobile Communication Technology Ltd.
00:A0:68,BHP LIMITED
74:9D:8F,"HUAWEI TECHNOLOGIES CO.,LTD"
90:60:F1,"Apple, Inc."
60:33:4B,"Apple, Inc."
DC:3E:F8,Nokia Corporation
E8:6D:54,Digit Mobile Inc
50:C8:E5,"Samsung Electronics Co.,Ltd"
00:23:18,Toshiba
38:48:4C,"Apple, Inc."
B8:05:AB,zte corporation
08:D4:2B,"Samsung Electronics Co.,Ltd"
F8:A4:5F,Xiaomi Communications Co Ltd
74:3A:65,NEC Corporation
B0:AA:36,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
18:AF:8F,"Apple, Inc."
00:03:7A,"Taiyo Yuden Co., Ltd."
00:40:90,ANSEL COMMUNICATIONS
00:0F:1F,Dell Inc.
24:A2:E1,"Apple, Inc."
5C:B8:CB,Allis Communications
C0:64:C6,Nokia Corporation
AC:22:0B,ASUSTek COMPUTER INC.
64:77:91,"Samsung Electronics Co.,Ltd"
08:86:20,TECNO MOBILE LIMITED
6C:94:F8,"Apple, Inc."
00:1C:B3,"Apple, Inc."
D4:4B:5E,"TAIYO YUDEN CO., LTD."
08:9E:08,"Google, Inc."
00:1F:FE,HPN Supply Chain
00:A0:E5,NHC COMMUNICATIONS
E0:99:71,"Samsung Electronics Co.,Ltd"
F4:F5:D8,"Google, Inc."
80:E6:50,"Apple, Inc."
8C:2D:AA,"Apple, Inc."
00:07:E0,Palm Inc.
7C:C5:37,"Apple, Inc."
64:E6:82,"Apple, Inc."
F0:62:81,ProCurve Networking by HP
00:12:40,"AMOI ELECTRONICS CO.,LTD"
68:54:FD,Amazon Technologies Inc.
A0:93:47,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
00:0F:4A,"Kyushu-kyohan co.,ltd"
D4:8F:33,Microsoft Corporation
D0:95:C7,"Pantech Co., Ltd."
B4:5C:A4,Thing-talk Wireless Communication Technologies Corporation Limited
00:22:94,Kyocera Corporation
0C:DF:A4,"Samsung Electronics Co.,Ltd"
F8:3F:51,"Samsung Electronics Co.,Ltd"
A4:08:F5,Sagemcom Broadband SAS
C8:D7:79,Qingdao Haier Telecom Co.，Ltd
00:15:23,Meteor Communications Corporation
00:00:88,"Brocade Communications Systems, Inc."
F4:64:5D,Toshiba
40:45:DA,"Spreadtrum Communications (Shanghai) Co., Ltd."
00:21:B0,Tyco Telecommunications
98:40:BB,Dell Inc.
DC:A4:CA,"Apple, Inc."
78:7E:61,"Apple, Inc."
00:03:16,"Nobell Communications, Inc."
00:14:C9,"Brocade Communications Systems, Inc."
0C:E7:25,Microsoft Corporation
1C:8E:8E,"DB Communication & Systems Co., ltd."
7C:0B:C6,"Samsung Electronics Co.,Ltd"
00:1F:5C,Nokia Danmark A/S
